scientificName,decimalLatitude,decimalLongitude
Ophioglossum_vulgatum_vulgatum,-25.51666,45.3
Cheilanthes_perrieri,-25.3169445,45.485
Doryopteris_pedatoides,-25.15,46.7166667
Drynaria_willdenowii,-25.13694,46.76972
Selaginella_pectinata,-25.0833333,46.7833333
Selaginella_echinata,-25.08333,46.81666
Microsorum_scolopendria,-25.0666667,46.85
Phymatodes,-25.0666667,46.85
Adiantum_poiretii,-25.06666,46.33333
Selaginella_polymorpha,-25.0569444,46.6725
Blechnum_attenuatum_attenuatum,-25.0333333,46.9833333
Ampelopteris_prolifera,-25.0333333,46.9833333
Cyathea_emilei_dauphinensis,-25.0333333,46.9833333
Platycerium_alcicorne,-25.03333,46.95
Microsorum_scolopendria,-25.0080556,46.9652778
Marsilea_minuta,-25.0077778,46.6225
Pteris,-25.0005556,46.6677778
Pteris_laurea,-25,45.5
Selaginella_proxima,-25,46.26666
Marsilea_minuta,-25,46.4833333
Notholaena_lanceolata_madagascarica,-25,46.5833333
Selaginella_proxima,-25,46.6
Cyathea_boivinii_boivinii,-25,46.8833333
Selaginella_proxima,-25,46.96666
Cyathea_boivinii_boivinii,-25,46.96666
Cyathea_boivinii_boivinii,-25,46.9666667
Selaginella,-24.994694,46.523167
Cyathea_melanocaula,-24.9886111,46.9236111
Cyathea_emilei_dauphinensis,-24.9886111,46.9236111
Cyathea_boivinii_boivinii,-24.9886111,46.9236111
Cyathea_melanocaula,-24.98861,46.92361
Cyathea_emilei_dauphinensis,-24.9875,46.9355555
Anemia_lanipes,-24.9833333,46.9166667
Cyathea_emilei_dauphinensis,-24.9833333,46.9166667
Cheilanthes,-24.98333,46.63333
Cyathea_emilei_dauphinensis,-24.98333,46.91666
Cyathea_melanocaula,-24.98333,46.91666
Acrostichum,-24.9711111,47.0586111
Pteris_elongatiloba_remotivenia,-24.9666667,46.6833333
Blechnum_xiphophyllum,-24.95,46.9
Ctenopteris_zenkeri,-24.95,46.9
Haplopteris_owariensis,-24.95,47
Asplenium_nidus,-24.95,47
Schizaea_pectinata,-24.95,47
Schizaea_dichotoma,-24.95,47
Nephrolepis_biserrata,-24.95,47
Phymatosorus_scolopendria,-24.95,47
Lygodium_lanceolatum,-24.95,47
Polypodium_scolopendria,-24.95,47
Anemia_lanipes,-24.9402777,47.0452777
Pellaea_boivinii,-24.9402777,47.0452777
Selaginella_echinata,-24.93972,46.64444
Selaginella_digitata,-24.93972,46.64444
Pellaea_pectiniformis,-24.9391666,47.0461111
Selaginella_nivea,-24.9391666,47.0461111
Pellaea_calomelanos,-24.93388,46.58472
Elaphoglossum_angulatum,-24.9333333,46.6333333
Elaphoglossum_lepervanchii,-24.9333333,46.6333333
Blechnum_punctulatum,-24.9333333,46.6333333
Lycopodiella_cernua,-24.9122222,46.9866666
Cyclosorus_interruptus,-24.9097222,47.1191667
Ptisana,-24.9097222,47.1191667
